sample_accession	run_accession	submission_accession	assembly_software	library_selection	serotype	environment_feature	last_updated	submitted_galaxy	germline	culture_collection	submission_tool	sra_bytes	collected_by	submitted_ftp	isolate	fastq_bytes	instrument_platform	variety	temperature	sra_aspera	ecotype	submitted_aspera	sampling_campaign	tissue_lib	environmental_sample	sex	submitted_md5	checklist	fastq_galaxy	specimen_voucher	submitted_bytes	taxonomic_identity_marker	country	sample_description	experiment_title	sra_galaxy	fastq_md5	secondary_study_accession	read_count	study_title	bio_material	host_body_site	assembly_quality	sample_capture_status	sample_title	host_genotype	host_phenotype	cultivar	instrument_model	target_gene	nominal_sdev	environment_material	host_tax_id	sample_material	sra_md5	cell_type	fastq_ftp	broker_name	sub_strain	base_count	library_strategy	serovar	investigation_type	location	library_source	sra_ftp	library_layout	experimental_factor	environment_biome	dev_stage	binning_software	sample_collection	nominal_length	completeness_score	lon	fastq_aspera	host_sex	sample_alias	mating_type	sub_species	contamination_score	run_alias	depth	host_growth_conditions	collection_date	experiment_alias	host_gravidity	center_name	identified_by	cell_line	sampling_site	host	library_name	first_created	lat	strain	experiment_accession	scientific_name	host_status	tax_id	study_accession	submitted_format	submitted_host_sex	altitude	accession	secondary_sample_accession	sampling_platform	taxonomic_classification	protocol_label	elevation	salinity	sequencing_method	first_public	study_alias	ph	tissue_type	isolation_source	metadata_reviewed	study_setting	amr_study
SAMD00099771	DRR111584	DRA006333		RANDOM			2018-09-07					444523042.0				258187793;304943355	ILLUMINA			fasp.sra.ebi.ac.uk:/vol1/drr/DRR111/DRR111584									ftp.sra.ebi.ac.uk/vol1/fastq/DRR111/DRR111584/DRR111584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR111/DRR111584/DRR111584_2.fastq.gz				Myanmar:Yangon	MIC of MEPM, >16 mg/L, determined by a microdilution method	Illumina HiSeq 3000 paired end sequencing; Illumina HiSeq 3000 paired end sequencing of SAMD00099771;Illumina HiSeq 3000 paired end sequencing of SAMD00099771	ftp.sra.ebi.ac.uk/vol1/drr/DRR111/DRR111584	4698c091de6ccfcbd0f48f413c205b4f;ebccf617373fc11c96658218f7a2820b	DRP003581	3039294.0	Whole genome sequencing of carbapenem-resistant Enterobacteriaceae isolated in Myanmar					whole genome sequence of M501				Illumina HiSeq 3000						5bef86c7cb4f4df2036bf153be6a39b7		ftp.sra.ebi.ac.uk/vol1/fastq/DRR111/DRR111584/DRR111584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR111/DRR111584/DRR111584_2.fastq.gz			917866788.0	WGS			16.7788 N 96.149 E	GENOMIC	ftp.sra.ebi.ac.uk/vol1/drr/DRR111/DRR111584	PAIRED						350.0		96.149	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR111/DRR111584/DRR111584_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR111/DRR111584/DRR111584_2.fastq.gz		SAMD00099771				DRR111584			2016-05-24	DRX104651		OSAKA_RIMD				Homo sapiens		2018-09-07	16.7788	M501	DRX104651	Klebsiella pneumoniae		573.0	PRJDB5126				DRR111584	DRS075005							2018-09-07	DRP003581				False	mixed	amr
SAMD00099772	DRR111585	DRA006333		RANDOM			2018-09-07					392824134.0				226365451;268002234	ILLUMINA			fasp.sra.ebi.ac.uk:/vol1/drr/DRR111/DRR111585									ftp.sra.ebi.ac.uk/vol1/fastq/DRR111/DRR111585/DRR111585_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR111/DRR111585/DRR111585_2.fastq.gz				Myanmar:Yangon	MIC of MEPM, >16 mg/L, determined by a microdilution method	Illumina HiSeq 3000 paired end sequencing of SAMD00099772;Illumina HiSeq 3000 paired end sequencing; Illumina HiSeq 3000 paired end sequencing of SAMD00099772	ftp.sra.ebi.ac.uk/vol1/drr/DRR111/DRR111585	4986bc5652fc333ee0aeba7c014e8efd;3b972462f8f623beb7230839d92b248a	DRP003581	2663017.0	Whole genome sequencing of carbapenem-resistant Enterobacteriaceae isolated in Myanmar					whole genome sequence of M503				Illumina HiSeq 3000						3c8df1cf0b29384322bea4e6cbf20b45		ftp.sra.ebi.ac.uk/vol1/fastq/DRR111/DRR111585/DRR111585_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR111/DRR111585/DRR111585_2.fastq.gz			804231134.0	WGS			16.7788 N 96.149 E	GENOMIC	ftp.sra.ebi.ac.uk/vol1/drr/DRR111/DRR111585	PAIRED						350.0		96.149	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR111/DRR111585/DRR111585_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR111/DRR111585/DRR111585_2.fastq.gz		SAMD00099772				DRR111585			2016-05-27	DRX104652		OSAKA_RIMD				Homo sapiens		2018-09-07	16.7788	M503	DRX104652	Klebsiella quasipneumoniae		1463165.0	PRJDB5126				DRR111585	DRS075006							2018-09-07	DRP003581				False	mixed	amr
SAMD00099789	DRR111602	DRA006333		RANDOM			2018-09-07					640415749.0				372411159;454881150	ILLUMINA			fasp.sra.ebi.ac.uk:/vol1/drr/DRR111/DRR111602									ftp.sra.ebi.ac.uk/vol1/fastq/DRR111/DRR111602/DRR111602_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR111/DRR111602/DRR111602_2.fastq.gz				Myanmar:Yangon	MIC of MEPM, 8 mg/L, determined by a microdilution method	Illumina HiSeq 3000 paired end sequencing; Illumina HiSeq 3000 paired end sequencing of SAMD00099789;Illumina HiSeq 3000 paired end sequencing of SAMD00099789	ftp.sra.ebi.ac.uk/vol1/drr/DRR111/DRR111602	ab0c9329db0d7263264dc28b832df29a;b711a1071d844f2dd0c785bf5d049ea7	DRP003581	4575653.0	Whole genome sequencing of carbapenem-resistant Enterobacteriaceae isolated in Myanmar					whole genome sequence of M602				Illumina HiSeq 3000						2dc5a7bbce2f0e88ebfc40cc8f7f3344		ftp.sra.ebi.ac.uk/vol1/fastq/DRR111/DRR111602/DRR111602_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR111/DRR111602/DRR111602_2.fastq.gz			1381847206.0	WGS			16.7788 N 96.149 E	GENOMIC	ftp.sra.ebi.ac.uk/vol1/drr/DRR111/DRR111602	PAIRED						350.0		96.149	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR111/DRR111602/DRR111602_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR111/DRR111602/DRR111602_2.fastq.gz		SAMD00099789				DRR111602			2016-08-25	DRX104669		OSAKA_RIMD				Homo sapiens		2018-09-07	16.7788	M602	DRX104669	Klebsiella pneumoniae		573.0	PRJDB5126				DRR111602	DRS075023							2018-09-07	DRP003581				False	mixed	amr
SAMD00099792	DRR111605	DRA006333		RANDOM			2018-09-07					581992325.0				336464884;410706059	ILLUMINA			fasp.sra.ebi.ac.uk:/vol1/drr/DRR111/DRR111605									ftp.sra.ebi.ac.uk/vol1/fastq/DRR111/DRR111605/DRR111605_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR111/DRR111605/DRR111605_2.fastq.gz				Myanmar:Yangon	MIC of MEPM, >16 mg/L, determined by a microdilution method	Illumina HiSeq 3000 paired end sequencing; Illumina HiSeq 3000 paired end sequencing of SAMD00099792;Illumina HiSeq 3000 paired end sequencing of SAMD00099792	ftp.sra.ebi.ac.uk/vol1/drr/DRR111/DRR111605	720ee7bcc2b7081bd44fc17b61d7e187;1e120044b85f2006c1bf7e04e7bbac92	DRP003581	4157324.0	Whole genome sequencing of carbapenem-resistant Enterobacteriaceae isolated in Myanmar					whole genome sequence of M605				Illumina HiSeq 3000						c9088dca0bd1c66e81383937a37a4bf6		ftp.sra.ebi.ac.uk/vol1/fastq/DRR111/DRR111605/DRR111605_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR111/DRR111605/DRR111605_2.fastq.gz			1255511848.0	WGS			16.7788 N 96.149 E	GENOMIC	ftp.sra.ebi.ac.uk/vol1/drr/DRR111/DRR111605	PAIRED						350.0		96.149	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR111/DRR111605/DRR111605_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR111/DRR111605/DRR111605_2.fastq.gz		SAMD00099792				DRR111605			2016-08-30	DRX104672		OSAKA_RIMD				Homo sapiens		2018-09-07	16.7788	M605	DRX104672	Klebsiella pneumoniae		573.0	PRJDB5126				DRR111605	DRS075026							2018-09-07	DRP003581				False	mixed	amr
SAMD00108714	DRR120564	DRA006435		RANDOM			2019-12-28					622628808.0				357914425;441714097	ILLUMINA			fasp.sra.ebi.ac.uk:/vol1/drr/DRR120/DRR120564									ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120564/DRR120564_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120564/DRR120564_2.fastq.gz				Japan:Osaka	MIC of MEPM, >4 mg/L, determined by a microdilution method	Illumina HiSeq 3000 paired end sequencing; Illumina HiSeq 3000 paired end sequencing of SAMD00108714;Illumina HiSeq 3000 paired end sequencing of SAMD00108714	ftp.sra.ebi.ac.uk/vol1/drr/DRR120/DRR120564	e29d56b4512ac773eb8cf035ff611c7f;352d261eb29eaf467dd03644829b69f7	DRP004119	4306839.0	Molecular epidemiology of carbapenem-resistant Enterobacteriaceae in Osaka, Japan					whole genome sequence of E045				Illumina HiSeq 3000						be40d195e4acb0ce94a0db09acc6c017		ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120564/DRR120564_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120564/DRR120564_2.fastq.gz			1300665378.0	WGS				GENOMIC	ftp.sra.ebi.ac.uk/vol1/drr/DRR120/DRR120564	PAIRED						350.0			fasp.sra.ebi.ac.uk:/vol1/fastq/DRR120/DRR120564/DRR120564_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR120/DRR120564/DRR120564_2.fastq.gz		SAMD00108714				DRR120564			2015-12	DRX113566		OSAKA_RIMD				Homo sapiens		2019-12-28		E045	DRX113566	Klebsiella pneumoniae		573.0	PRJDB6565				DRR120564	DRS117591							2019-12-28	DRP004119			rectal swab	False	hospital	amr
SAMD00108716	DRR120566	DRA006435		RANDOM			2019-12-28					557617821.0				321820863;395315421	ILLUMINA			fasp.sra.ebi.ac.uk:/vol1/drr/DRR120/DRR120566									ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120566/DRR120566_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120566/DRR120566_2.fastq.gz				Japan:Osaka	MIC of MEPM, >4 mg/L, determined by a microdilution method	Illumina HiSeq 3000 paired end sequencing; Illumina HiSeq 3000 paired end sequencing of SAMD00108716;Illumina HiSeq 3000 paired end sequencing of SAMD00108716	ftp.sra.ebi.ac.uk/vol1/drr/DRR120/DRR120566	bba608d7c4c6f2d359bf0b338faa1483;777c31f647501b5d3a731d320592399c	DRP004119	3899015.0	Molecular epidemiology of carbapenem-resistant Enterobacteriaceae in Osaka, Japan					whole genome sequence of E053				Illumina HiSeq 3000						73d6f192275cb579c9bb6bfe3c979293		ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120566/DRR120566_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120566/DRR120566_2.fastq.gz			1177502530.0	WGS				GENOMIC	ftp.sra.ebi.ac.uk/vol1/drr/DRR120/DRR120566	PAIRED						350.0			fasp.sra.ebi.ac.uk:/vol1/fastq/DRR120/DRR120566/DRR120566_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR120/DRR120566/DRR120566_2.fastq.gz		SAMD00108716				DRR120566			2015-12	DRX113568		OSAKA_RIMD				Homo sapiens		2019-12-28		E053	DRX113568	Klebsiella pneumoniae		573.0	PRJDB6565				DRR120566	DRS117593							2019-12-28	DRP004119			rectal swab	False	hospital	amr
SAMD00108717	DRR120567	DRA006435		RANDOM			2019-12-28					608534740.0				351618400;434325571	ILLUMINA			fasp.sra.ebi.ac.uk:/vol1/drr/DRR120/DRR120567									ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120567/DRR120567_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120567/DRR120567_2.fastq.gz				Japan:Osaka	MIC of MEPM, >4 mg/L, determined by a microdilution method	Illumina HiSeq 3000 paired end sequencing of SAMD00108717;Illumina HiSeq 3000 paired end sequencing; Illumina HiSeq 3000 paired end sequencing of SAMD00108717	ftp.sra.ebi.ac.uk/vol1/drr/DRR120/DRR120567	61583d635029c92050f2f1c4d44abf2f;d7ca45961b466f3b71c76f78fedc85ab	DRP004119	4222909.0	Molecular epidemiology of carbapenem-resistant Enterobacteriaceae in Osaka, Japan					whole genome sequence of E065				Illumina HiSeq 3000						c769aec222f7a0f2cda486d157dc764d		ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120567/DRR120567_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120567/DRR120567_2.fastq.gz			1275318518.0	WGS				GENOMIC	ftp.sra.ebi.ac.uk/vol1/drr/DRR120/DRR120567	PAIRED						350.0			fasp.sra.ebi.ac.uk:/vol1/fastq/DRR120/DRR120567/DRR120567_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR120/DRR120567/DRR120567_2.fastq.gz		SAMD00108717				DRR120567			2015-12	DRX113569		OSAKA_RIMD				Homo sapiens		2019-12-28		E065	DRX113569	Klebsiella pneumoniae		573.0	PRJDB6565				DRR120567	DRS117594							2019-12-28	DRP004119			rectal swab	False	hospital	amr
SAMD00108720	DRR120570	DRA006435		RANDOM			2019-12-28					625653647.0				363424898;445174258	ILLUMINA			fasp.sra.ebi.ac.uk:/vol1/drr/DRR120/DRR120570									ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120570/DRR120570_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120570/DRR120570_2.fastq.gz				Japan:Osaka	MIC of MEPM, >4 mg/L, determined by a microdilution method	Illumina HiSeq 3000 paired end sequencing of SAMD00108720;Illumina HiSeq 3000 paired end sequencing; Illumina HiSeq 3000 paired end sequencing of SAMD00108720	ftp.sra.ebi.ac.uk/vol1/drr/DRR120/DRR120570	7f1559905e3106f6c96e58e5330b765e;190aefd6aacefb6ffe965dafffe81b60	DRP004119	4343342.0	Molecular epidemiology of carbapenem-resistant Enterobacteriaceae in Osaka, Japan					whole genome sequence of E085				Illumina HiSeq 3000						049fa75761a8956480f45c7b941fc20a		ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120570/DRR120570_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120570/DRR120570_2.fastq.gz			1311689284.0	WGS				GENOMIC	ftp.sra.ebi.ac.uk/vol1/drr/DRR120/DRR120570	PAIRED						350.0			fasp.sra.ebi.ac.uk:/vol1/fastq/DRR120/DRR120570/DRR120570_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR120/DRR120570/DRR120570_2.fastq.gz		SAMD00108720				DRR120570			2015-12	DRX113572		OSAKA_RIMD				Homo sapiens		2019-12-28		E085	DRX113572	Klebsiella pneumoniae		573.0	PRJDB6565				DRR120570	DRS117597							2019-12-28	DRP004119			rectal swab	False	hospital	amr
SAMD00108730	DRR120580	DRA006435		RANDOM			2019-12-28					499730158.0				284238718;349492292	ILLUMINA			fasp.sra.ebi.ac.uk:/vol1/drr/DRR120/DRR120580									ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120580/DRR120580_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120580/DRR120580_2.fastq.gz				Japan:Osaka	MIC of MEPM, >4 mg/L, determined by a microdilution method	Illumina HiSeq 3000 paired end sequencing of SAMD00108730;Illumina HiSeq 3000 paired end sequencing; Illumina HiSeq 3000 paired end sequencing of SAMD00108730	ftp.sra.ebi.ac.uk/vol1/drr/DRR120/DRR120580	991cd8148dd1fdbc94f88793683ccf4d;dda13972521f73a8f9823292de1de534	DRP004119	3446066.0	Molecular epidemiology of carbapenem-resistant Enterobacteriaceae in Osaka, Japan					whole genome sequence of E139				Illumina HiSeq 3000						9dae8111f4f56ec58751f93ec6f31bdf		ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120580/DRR120580_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120580/DRR120580_2.fastq.gz			1040711932.0	WGS				GENOMIC	ftp.sra.ebi.ac.uk/vol1/drr/DRR120/DRR120580	PAIRED						350.0			fasp.sra.ebi.ac.uk:/vol1/fastq/DRR120/DRR120580/DRR120580_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR120/DRR120580/DRR120580_2.fastq.gz		SAMD00108730				DRR120580			2015-12	DRX113582		OSAKA_RIMD				Homo sapiens		2019-12-28		E139	DRX113582	Klebsiella pneumoniae		573.0	PRJDB6565				DRR120580	DRS117606							2019-12-28	DRP004119			rectal swab	False	hospital	amr
SAMD00108731	DRR120581	DRA006435		RANDOM			2019-12-28					566386583.0				320868655;393079626	ILLUMINA			fasp.sra.ebi.ac.uk:/vol1/drr/DRR120/DRR120581									ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120581/DRR120581_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120581/DRR120581_2.fastq.gz				Japan:Osaka	MIC of MEPM, >4 mg/L, determined by a microdilution method	Illumina HiSeq 3000 paired end sequencing of SAMD00108731;Illumina HiSeq 3000 paired end sequencing; Illumina HiSeq 3000 paired end sequencing of SAMD00108731	ftp.sra.ebi.ac.uk/vol1/drr/DRR120/DRR120581	350eeeb7a76eb4a813a972d9c9d57726;cee8beb3c9315234642cc68a63e9f05d	DRP004119	3901614.0	Molecular epidemiology of carbapenem-resistant Enterobacteriaceae in Osaka, Japan					whole genome sequence of E159				Illumina HiSeq 3000						2befdcf6b5e320eb5143b89f0ce60ae9		ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120581/DRR120581_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120581/DRR120581_2.fastq.gz			1178287428.0	WGS				GENOMIC	ftp.sra.ebi.ac.uk/vol1/drr/DRR120/DRR120581	PAIRED						350.0			fasp.sra.ebi.ac.uk:/vol1/fastq/DRR120/DRR120581/DRR120581_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR120/DRR120581/DRR120581_2.fastq.gz		SAMD00108731				DRR120581			2015-12	DRX113583		OSAKA_RIMD				Homo sapiens		2019-12-28		E159	DRX113583	Klebsiella pneumoniae		573.0	PRJDB6565				DRR120581	DRS117607							2019-12-28	DRP004119			rectal swab	False	hospital	amr
SAMD00108737	DRR120587	DRA006435		RANDOM			2019-12-28					613778120.0				359896803;439489815	ILLUMINA			fasp.sra.ebi.ac.uk:/vol1/drr/DRR120/DRR120587									ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120587/DRR120587_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120587/DRR120587_2.fastq.gz				Japan:Osaka	MIC of MEPM, >4 mg/L, determined by a microdilution method	Illumina HiSeq 3000 paired end sequencing; Illumina HiSeq 3000 paired end sequencing of SAMD00108737;Illumina HiSeq 3000 paired end sequencing of SAMD00108737	ftp.sra.ebi.ac.uk/vol1/drr/DRR120/DRR120587	4256454226166aa2a3a3e97b3745cf5e;d04947c952ab950a24205901805fd9a8	DRP004119	4301424.0	Molecular epidemiology of carbapenem-resistant Enterobacteriaceae in Osaka, Japan					whole genome sequence of E183				Illumina HiSeq 3000						78dad4fa284d6f8555bbf94361c24f6c		ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120587/DRR120587_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120587/DRR120587_2.fastq.gz			1299030048.0	WGS				GENOMIC	ftp.sra.ebi.ac.uk/vol1/drr/DRR120/DRR120587	PAIRED						350.0			fasp.sra.ebi.ac.uk:/vol1/fastq/DRR120/DRR120587/DRR120587_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR120/DRR120587/DRR120587_2.fastq.gz		SAMD00108737				DRR120587			2015-12	DRX113589		OSAKA_RIMD				Homo sapiens		2019-12-28		E183	DRX113589	Klebsiella pneumoniae		573.0	PRJDB6565				DRR120587	DRS117613							2019-12-28	DRP004119			rectal swab	False	hospital	amr
SAMD00108742	DRR120591	DRA006435		RANDOM			2019-12-28					740819025.0				438684834;533083653	ILLUMINA			fasp.sra.ebi.ac.uk:/vol1/drr/DRR120/DRR120591									ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120591/DRR120591_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120591/DRR120591_2.fastq.gz				Japan:Osaka	MIC of MEPM, >4 mg/L, determined by a microdilution method	Illumina HiSeq 3000 paired end sequencing of SAMD00108742;Illumina HiSeq 3000 paired end sequencing; Illumina HiSeq 3000 paired end sequencing of SAMD00108742	ftp.sra.ebi.ac.uk/vol1/drr/DRR120/DRR120591	763765a8b2e4ef84bd90e15e9142565a;de4a3e2365934410c9d81cf16199d590	DRP004119	5181380.0	Molecular epidemiology of carbapenem-resistant Enterobacteriaceae in Osaka, Japan					whole genome sequence of E194				Illumina HiSeq 3000						afdf737e68b8aa68c7909d91a14343a1		ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120591/DRR120591_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120591/DRR120591_2.fastq.gz			1564776760.0	WGS				GENOMIC	ftp.sra.ebi.ac.uk/vol1/drr/DRR120/DRR120591	PAIRED						350.0			fasp.sra.ebi.ac.uk:/vol1/fastq/DRR120/DRR120591/DRR120591_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR120/DRR120591/DRR120591_2.fastq.gz		SAMD00108742				DRR120591			2015-12	DRX113593		OSAKA_RIMD				Homo sapiens		2019-12-28		E194	DRX113593	Klebsiella pneumoniae		573.0	PRJDB6565				DRR120591	DRS117617							2019-12-28	DRP004119			rectal swab	False	hospital	amr
SAMD00108750	DRR120598	DRA006435		RANDOM			2019-12-28					653776457.0				378244915;464669441	ILLUMINA			fasp.sra.ebi.ac.uk:/vol1/drr/DRR120/DRR120598									ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120598/DRR120598_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120598/DRR120598_2.fastq.gz				Japan:Osaka	MIC of MEPM, >4 mg/L, determined by a microdilution method	Illumina HiSeq 3000 paired end sequencing of SAMD00108750;Illumina HiSeq 3000 paired end sequencing; Illumina HiSeq 3000 paired end sequencing of SAMD00108750	ftp.sra.ebi.ac.uk/vol1/drr/DRR120/DRR120598	916ea8cea9b7a2734e00849b460ee6bb;4a0955dd164427d393fae43603d3f26b	DRP004119	4575824.0	Molecular epidemiology of carbapenem-resistant Enterobacteriaceae in Osaka, Japan					whole genome sequence of E269				Illumina HiSeq 3000						44ae9ea206df973c07f3bc650f4afd7f		ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120598/DRR120598_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120598/DRR120598_2.fastq.gz			1381898848.0	WGS				GENOMIC	ftp.sra.ebi.ac.uk/vol1/drr/DRR120/DRR120598	PAIRED						350.0			fasp.sra.ebi.ac.uk:/vol1/fastq/DRR120/DRR120598/DRR120598_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR120/DRR120598/DRR120598_2.fastq.gz		SAMD00108750				DRR120598			2015-12	DRX113600		OSAKA_RIMD				Homo sapiens		2019-12-28		E269	DRX113600	Klebsiella pneumoniae		573.0	PRJDB6565				DRR120598	DRS117624							2019-12-28	DRP004119			rectal swab	False	hospital	amr
SAMD00108700	DRR120610	DRA006436		RANDOM			2018-09-07					590072408.0				346004888;409897665	ILLUMINA			fasp.sra.ebi.ac.uk:/vol1/drr/DRR120/DRR120610									ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120610/DRR120610_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120610/DRR120610_2.fastq.gz				Myanmar:Yangon	MIC of MEPM, 8 mg/L, determined by a microdilution method	Illumina HiSeq 3000 paired end sequencing of SAMD00108700;Illumina HiSeq 3000 paired end sequencing; Illumina HiSeq 3000 paired end sequencing of SAMD00108700	ftp.sra.ebi.ac.uk/vol1/drr/DRR120/DRR120610	26fae2878eabd5f480d495a920f6250b;2b3f5fc30dfa48db8ab86d21052c4c65	DRP003581	4119570.0	Whole genome sequencing of carbapenem-resistant Enterobacteriaceae isolated in Myanmar					whole genome sequence of W033V				Illumina HiSeq 3000						5f5a3160b16926a41622bf0908bf103d		ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120610/DRR120610_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120610/DRR120610_2.fastq.gz			1244110140.0	WGS			16.775928 N 96.149697 E	GENOMIC	ftp.sra.ebi.ac.uk/vol1/drr/DRR120/DRR120610	PAIRED						350.0		96.149697	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR120/DRR120610/DRR120610_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR120/DRR120610/DRR120610_2.fastq.gz		SAMD00108700				DRR120610			2017-01-24	DRX113612		OSAKA_RIMD						2018-09-07	16.775928	W033V	DRX113612	Klebsiella pneumoniae		573.0	PRJDB5126				DRR120610	DRS075040							2018-09-07	DRP003581				False	mixed	amr
SAMD00108709	DRR120619	DRA006436		RANDOM			2018-09-07					552533352.0				332899786;372708275	ILLUMINA			fasp.sra.ebi.ac.uk:/vol1/drr/DRR120/DRR120619									ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120619/DRR120619_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120619/DRR120619_2.fastq.gz				Myanmar:Yangon	MIC of MEPM, >16 mg/L, determined by a microdilution method	Illumina HiSeq 3000 paired end sequencing of SAMD00108709;Illumina HiSeq 3000 paired end sequencing; Illumina HiSeq 3000 paired end sequencing of SAMD00108709	ftp.sra.ebi.ac.uk/vol1/drr/DRR120/DRR120619	69a4f12aaa32924095d211d40f83aa16;5317af9a3cd564495756309992c14ce1	DRP003581	3697079.0	Whole genome sequencing of carbapenem-resistant Enterobacteriaceae isolated in Myanmar					whole genome sequence of W052bV				Illumina HiSeq 3000						586b1eb338d8eb3b382e82ed5fd26261		ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120619/DRR120619_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR120/DRR120619/DRR120619_2.fastq.gz			1116517858.0	WGS			16.7734 N 96.151122 E	GENOMIC	ftp.sra.ebi.ac.uk/vol1/drr/DRR120/DRR120619	PAIRED						350.0		96.151122	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR120/DRR120619/DRR120619_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR120/DRR120619/DRR120619_2.fastq.gz		SAMD00108709				DRR120619			2017-01-30	DRX113621		OSAKA_RIMD						2018-09-07	16.7734	W052bV	DRX113621	Klebsiella quasipneumoniae		1463165.0	PRJDB5126				DRR120619	DRS075049							2018-09-07	DRP003581				False	mixed	amr
